,CALLS_Chart,CALLS_OI,CALLS_Chng in OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Net Chng,CALLS_Bid Qty,CALLS_Bid Price,CALLS_Ask Price,CALLS_Ask Qty,Strike Price,PUTS_Bid Qty,PUTS_Bid Price,PUTS_Ask Price,PUTS_Ask Qty,PUTS_Net Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Chng in OI,PUTS_OI,PUTS_Chart
34,0.0,34145.0,11660.0,1381868.0,18.55,312.0,92.19999999999999,50.0,310.0,312.0,1450.0,39800.0,25.0,380.0,394.3,325.0,-366.95000000000005,380.0,15.13,178511.0,6283.0,8311.0,0.0
35,0.0,19949.0,13477.0,1041867.0,18.28,265.0,77.15,25.0,261.65,265.0,1225.0,39900.0,25.0,431.0,448.2,450.0,-345.15000000000003,448.2,15.56,59878.0,3457.0,4191.0,0.0
36,0.0,72824.0,21896.0,2424607.0,17.89,220.2,60.099999999999994,150.0,220.1,223.0,350.0,40000.0,425.0,488.25,505.1,125.0,-378.25,500.0,14.88,185314.0,4016.0,20793.0,0.0
37,0.0,17952.0,8426.0,805046.0,17.82,185.85,51.400000000000006,25.0,182.15,185.85,125.0,40100.0,50.0,550.0,606.4,250.0,-363.79999999999995,565.0,14.61,9436.0,338.0,1092.0,0.0
38,0.0,43536.0,21075.0,1025129.0,17.72,154.9,41.400000000000006,25.0,150.05,152.0,25.0,40200.0,400.0,620.1,635.0,50.0,-404.0999999999999,620.0,13.35,7197.0,525.0,1666.0,0.0
39,0.0,27804.0,9243.0,819506.0,17.3,122.75,28.299999999999997,25.0,122.75,125.0,300.0,40300.0,25.0,661.55,700.0,100.0,-408.04999999999995,697.95,13.15,9491.0,343.0,1629.0,0.0
40,0.0,21987.0,10822.0,679619.0,17.27,100.6,22.25,25.0,100.55,102.45,25.0,40400.0,225.0,753.2,833.9,75.0,-385.54999999999995,774.75,12.43,1988.0,238.0,951.0,0.0
41,0.0,62645.0,52.0,1500663.0,17.25,82.0,16.950000000000003,3450.0,82.0,84.0,525.0,40500.0,25.0,845.7,864.6,550.0,-420.29999999999995,850.75,10.71,20661.0,841.0,7492.0,0.0
42,0.0,15531.0,3868.0,540652.0,17.31,67.0,13.149999999999999,3075.0,65.0,66.9,400.0,40600.0,25.0,905.2,942.0,25.0,-454.29999999999995,936.25,7.56,3467.0,87.0,950.0,0.0
43,0.0,14814.0,-2073.0,468094.0,17.27,53.5,9.450000000000003,50.0,51.7,54.25,1000.0,40700.0,25.0,967.1,1036.6,450.0,-402.29999999999995,1036.75,8.79,453.0,37.0,1195.0,0.0
