Date,Open,High,Low,Close,Volume,50MA,200MA,52WH,52WL,%ofL,%ofH,30MAM,30MASD,50MAH,50MAL,Bub,Blb,BBlwratio,BBPrratio,BBratio,Volumem,Volumesd,Volumesdm,1D,VD,v1d,Doji,ShortEMA,LongEMA,MACD,signal,Nan,Calling,EMA50,Callm,Calld,Calld2
2022-07-27,36370.12978288592,36807.87471581847,36248.1819757291,36783.32421875,113100,34583.8067578125,36406.16006835937,41829.11366140324,32154.974585594362,1.14,0.88,35187.7533203125,1066.281504307313,36783.32421875,32616.720703125,37320.316328927125,33055.19031169787,2132.5630086146266,3728.133907052128,1.748194023807076,122266.66666666667,636.3961030678928,7188.918942063236,375.24609375,375.24609375,42440333.203125,413.19443586408306,35906.29455490581,35242.22077995622,664.0737749495966,469.37274007534495,,194.7010348742516,35000.82999826842,214.60566967671357,-12.503594941307767,-12.503594941307767
2022-07-28,37102.01882316425,37413.964423242986,37028.07046223949,37377.71484375,172500,34665.0558203125,36404.17458007813,41829.11366140324,32154.974585594362,1.16,0.89,35385.4033203125,1088.4195455706954,37377.71484375,32616.720703125,37562.24241145389,33208.56422917111,2176.839091141388,4169.150614578888,1.9152314158383041,133200.0,42002.14280248092,20270.394394014365,594.390625,594.390625,102532382.8125,275.69602058574674,36132.66690703569,35400.40552542242,732.2613816132653,521.9504683829291,,210.31091323033615,35094.04116867946,204.07219264004902,15.60987835608455,15.60987835608455
2022-07-29,37716.860645117995,37754.20786554537,37220.714091140035,37490.9609375,166900,34729.3550390625,36400.16260742187,41829.11366140324,32154.974585594362,1.17,0.9,35582.9984375,1094.2912260235435,37490.9609375,32616.720703125,37771.580889547084,33394.41598545291,2188.582452047085,4096.544952047087,1.8717800411016698,150833.33333333334,3959.7979746446663,15532.778960064492,113.24609375,113.24609375,18900773.046875,-225.89970761799486,36341.63521941481,35555.261481872614,786.3737375421988,574.835122214783,,211.53861532741576,35188.0380223587,205.51685447733448,1.2277020970796002,1.2277020970796002
2022-08-01,37593.71063033792,37939.15973232214,37406.76358872746,37902.7578125,346400,34802.4661328125,36397.07114257813,41829.11366140324,32154.974585594362,1.18,0.91,35781.1111328125,1139.0327136267024,37902.7578125,32616.720703125,38059.1765600659,33503.045705559096,2278.065427253401,4399.712106940904,1.9313370258401719,228600.0,126925.66722298528,57629.20266670362,411.796875,411.796875,142646437.5,309.0471821620813,36581.8079260433,35729.150098956125,852.657827087176,630.3996631892617,,222.2581638979143,35294.497621972085,214.7025641518887,10.719548570498546,10.719548570498546
2022-08-02,37767.260787798936,38179.40834702809,37631.86392208824,38023.55859375,317300,34877.1423046875,36394.01243164062,41829.11366140324,32154.974585594362,1.18,0.91,35991.5138671875,1145.4736451935019,38023.55859375,32616.720703125,38282.46115757451,33700.5665768005,2290.9472903870046,4322.992016949502,1.8869888604985008,276866.6666666667,20576.807332528533,50487.4241767195,120.80078125,120.80078125,38330087.890625,256.2978059510642,36803.6157210751,35899.106283755675,904.5094373194224,685.2216180152939,,219.28781930412856,35401.51962086534,217.69486617648616,-2.9703445937857396,-2.9703445937857396
2022-08-03,37954.10977817859,38068.159234245075,37692.51125529018,37988.80859375,200300,34950.1364453125,36387.25426757812,41829.11366140324,32154.974585594362,1.18,0.91,36174.76171875,1157.733282734162,38023.55859375,32616.720703125,38490.22828421833,33859.29515328167,2315.4665654683267,4129.513440468327,1.7834476653879434,288000.0,82731.49339882606,76744.65598477995,-34.75,-34.75,-6960425.0,34.698815571413434,36985.953086102,36053.89904745895,932.0540386430512,734.5881021408454,,197.46593650220575,35502.98193352749,213.0039732347495,-21.82188280192281,-21.82188280192281
2022-08-04,38110.60916182261,38231.40854326939,37249.068363964696,37755.11328125,186300,35003.3488671875,36377.60813476562,41829.11366140324,32154.974585594362,1.17,0.9,36316.52265625,1169.5135484436585,38023.55859375,32616.720703125,38655.54975313732,33977.49555936269,2339.0270968873156,3777.6177218873127,1.6150380330841043,234633.33333333334,9899.494936611665,37735.931889322084,-233.6953125,-233.6953125,-43537436.71875,-355.4958805726128,37104.28542381708,36179.91491662866,924.3705071884178,772.54458315036,,151.8259240380578,35591.30080990876,189.52655994813065,-45.64001246414796,-45.64001246414796
2022-08-05,37867.80920313661,38150.00513700995,37779.45866907314,37920.16015625,175900,35049.4943359375,36369.50874023438,41829.11366140324,32154.974585594362,1.18,0.91,36456.3486328125,1186.4395315033998,38023.55859375,32616.720703125,38829.227695819296,34083.469569805704,2372.879063006796,3836.690586444296,1.6168925952689008,187500.0,7353.9105243400945,33328.29961992594,165.046875,165.046875,29031745.3125,52.35095311338955,37229.804613422144,36308.821971415426,920.9826420067184,802.2321949216317,,118.75044708508665,35682.628627412334,156.01410254178336,-33.075476952971144,-33.075476952971144
2022-08-08,37846.91079248344,38301.90549355632,37681.01038083108,38236.953125,174100,35097.7027734375,36363.10481445312,41829.11366140324,32154.974585594362,1.19,0.91,36594.7345703125,1225.9964995664054,38236.953125,32616.720703125,39046.72756944531,34142.74157117969,2451.99299913281,4094.211553820307,1.6697484679884063,178766.66666666666,1272.7922061357856,6175.399222362515,316.79296875,316.79296875,55153655.859375,390.04233251656115,37384.75053828028,36451.64650131058,933.1040369697002,828.4065633312455,,104.69747363845477,35782.79821555303,125.0912815871997,-14.052973446631881,-14.052973446631881
2022-08-10,38298.40612206288,38402.50256758975,38154.8570104014,38287.40625,163900,35153.7112109375,36354.393173828124,41829.11366140324,32154.974585594362,1.19,0.92,36752.512890625,1230.8635691003674,38287.40625,32616.720703125,39214.240028825734,34290.78575242427,2461.727138200731,3996.620497575728,1.6235026358351177,171300.0,7212.489168102785,5279.730632859555,50.453125,50.453125,8269267.1875,-10.999872062879149,37523.62064777562,36587.6287049172,935.991942858418,849.9236392366801,,86.06830362173798,35881.01813847252,103.17207478175976,-18.629170016716785,-18.629170016716785
